worker_count,match_id,paired_unit_id,candidate_policy_id,opponent_policy_id,candidate_color,setup_pair_id,replay_digest,winner,terminal_reason,plies,candidate_result
1,m-19c244b54881b394f8169150,u-71788ad05220c4d5f65d650c,tactical_rule_based,strategic_rule_based,1,41,ecd297bea09c45af482c1a92766113eb423dd2abd6b5a2edaa01cd7bccb4d940,1,flag_capture,300,win
1,m-19d801cfbf662d98319f1ae0,u-9d6ff564e8ec1429e1f42a74,tactical_rule_based,strategic_rule_based,1,42,a98311109e122c4c0bcca87e1b06e8dda4103f7bc2dbbfde7002d7af64b173de,0,flag_capture,333,loss
1,m-19d89e90dd35b576888d375a,u-1669176b59bbabc085b2a7a3,random_legal,strategic_rule_based,1,53,ee4a39de6ae51852e752bb69d4c1746e90ac85f4472e6139988e594179e0aa68,0,flag_capture,433,loss
1,m-19f27bd0f1d6946b691dd4f5,u-e44b3743cfda67a91f9ae695,basic_heuristic,tactical_rule_based,0,32,1aa35e0d5818d562762bb2f14a4a4deccbd31c454d352634bd6638736ca6027a,0,flag_capture,141,win
1,m-1ab744bd789b8e34abcf2825,u-2400c24187b544ff94fdc0e9,random_legal,strategic_rule_based,1,62,8a924bde859a509d0edf6ea10447b32f56941eed9e93915e7a58d339a26504ee,0,flag_capture,551,loss
1,m-1bb429ac5ab33066338f183f,u-8a2053112c41358ae1bb115a,basic_heuristic,tactical_rule_based,1,25,f69050f4c5bf720b419229958a8cc2a5969a651c8ddb61cebcb4e6bfb0e1a55e,,battleless_move_limit_draw,509,draw
1,m-1bd4a3c7c5cde605ba0c54a9,u-f32715aaf6b3f286446412d9,strategic_rule_based,stress_draw_seeker,0,24,2a2dff095b994f5513e1514d03e7957cf3409b24785b051d3228471a786de4fd,0,flag_capture,285,win
1,m-1bd871ab96a2794501a9f503,u-cead44106d12c32bc7830e95,tactical_rule_based,strategic_rule_based,0,25,d585d5cf7e88bc46c19dd9adc544b2893c895b737de261179288160092ec6e02,1,flag_capture,104,loss
1,m-1c3a67cd144e5993c278409e,u-e32ae234ef0832955fca11aa,random_legal,strategic_rule_based,0,3,16e3dcb50992b0c045876440389f86b54de196d122e1e9b9312d64332f89f949,1,flag_capture,264,loss
1,m-1cddcdd74564264b77332c66,u-2dabf74c05f746ce26c40d9f,tactical_rule_based,strategic_rule_based,0,10,5ab35b45ed68e7b2b22433ad0f5972cc44161ecda14eec6990c9a67f19cd9d55,0,flag_capture,439,win
