board_id,arm_id,stratum,setup_source,player_color,ordinal,match_id,opponent_policy,outcome,effective_score,winner,terminal_reason,plies,player_decisions,seconds,player_seconds,seconds_per_player_move,move_changes,move_change_rate,c1_forwards
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=01,search_original_phase11,phase9_selfplay,p10d,red,1,m-4807317aa20e85b31374295d,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,75,38,12.8734,12.7861,0.33648,0,0.0,33564
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=01,search_remaining_count,phase9_selfplay,p10d,red,1,m-4807317aa20e85b31374295d,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,53,27,9.0144,8.9524,0.33157,1,0.03704,24011
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=00,direct_c1,scout_rush,neutral,blue,0,m-cb06f1595f9c63379df72494,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.0023,0.0017,0.00175,0,,1
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=00,search_agent1c,scout_rush,neutral,blue,0,m-cb06f1595f9c63379df72494,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.2204,0.2198,0.21977,0,0.0,601
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=00,search_oracle,scout_rush,neutral,blue,0,m-cb06f1595f9c63379df72494,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.0158,0.0153,0.01526,0,0.0,13
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=00,search_original_phase11,scout_rush,neutral,blue,0,m-cb06f1595f9c63379df72494,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.2102,0.2096,0.20957,0,0.0,565
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=00,search_remaining_count,scout_rush,neutral,blue,0,m-cb06f1595f9c63379df72494,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.2038,0.2032,0.20319,0,0.0,555
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=01,direct_c1,scout_rush,neutral,blue,1,m-9e97a050efc9f8b468a03754,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,643,321,0.6508,0.5484,0.00171,0,,321
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=01,search_agent1c,scout_rush,neutral,blue,1,m-9e97a050efc9f8b468a03754,stress_scout_rush@1.0.0,win,1.0,blue,flag_capture,474,237,79.9327,79.8277,0.33683,37,0.15612,210449
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=01,search_oracle,scout_rush,neutral,blue,1,m-9e97a050efc9f8b468a03754,stress_scout_rush@1.0.0,win,1.0,blue,flag_capture,332,166,7.0013,6.9405,0.04181,33,0.1988,9370
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=01,search_original_phase11,scout_rush,neutral,blue,1,m-9e97a050efc9f8b468a03754,stress_scout_rush@1.0.0,win,1.0,blue,flag_capture,476,238,79.8279,79.7225,0.33497,38,0.15966,211006
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=blue|g=01,search_remaining_count,scout_rush,neutral,blue,1,m-9e97a050efc9f8b468a03754,stress_scout_rush@1.0.0,win,1.0,blue,flag_capture,432,216,70.7416,70.6467,0.32707,38,0.17593,189593
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=00,direct_c1,scout_rush,neutral,red,0,m-1209e642693a9947b2fa30a0,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,193,97,0.2034,0.1742,0.0018,0,,97
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=00,search_agent1c,scout_rush,neutral,red,0,m-1209e642693a9947b2fa30a0,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,285,143,46.4132,46.3548,0.32416,16,0.11189,127073
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=00,search_oracle,scout_rush,neutral,red,0,m-1209e642693a9947b2fa30a0,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,95,48,1.976,1.9598,0.04083,7,0.14583,2691
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=00,search_original_phase11,scout_rush,neutral,red,0,m-1209e642693a9947b2fa30a0,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,331,166,54.198,54.1304,0.32609,13,0.07831,148388
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=00,search_remaining_count,scout_rush,neutral,red,0,m-1209e642693a9947b2fa30a0,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,311,156,50.6136,50.5502,0.32404,17,0.10897,139414
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=01,direct_c1,scout_rush,neutral,red,1,m-916382b4c8705d69dde554ed,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,777,389,0.8219,0.699,0.0018,0,,389
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=01,search_agent1c,scout_rush,neutral,red,1,m-916382b4c8705d69dde554ed,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,689,345,115.2465,115.0955,0.33361,87,0.25217,306129
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=01,search_oracle,scout_rush,neutral,red,1,m-916382b4c8705d69dde554ed,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,187,94,3.7858,3.7559,0.03996,22,0.23404,5326
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=01,search_original_phase11,scout_rush,neutral,red,1,m-916382b4c8705d69dde554ed,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,705,353,115.1278,114.976,0.32571,87,0.24646,311593
phase12_match_v1|ms=2026082003|st=scout_rush|src=neutral|pl=red|g=01,search_remaining_count,scout_rush,neutral,red,1,m-916382b4c8705d69dde554ed,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,515,258,83.6489,83.5361,0.32378,46,0.17829,225207
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=00,direct_c1,scout_rush,p10d,blue,0,m-50ca1fbc1f9eb2afd55c37f8,stress_scout_rush@1.0.0,win,1.0,blue,flag_capture,416,208,0.435,0.3704,0.00178,0,,208
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=00,search_agent1c,scout_rush,p10d,blue,0,m-50ca1fbc1f9eb2afd55c37f8,stress_scout_rush@1.0.0,win,1.0,blue,flag_capture,370,185,60.0153,59.9372,0.32399,37,0.2,163829
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=00,search_oracle,scout_rush,p10d,blue,0,m-50ca1fbc1f9eb2afd55c37f8,stress_scout_rush@1.0.0,win,1.0,blue,flag_capture,576,288,10.1507,10.0512,0.0349,104,0.36111,12686
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=00,search_original_phase11,scout_rush,p10d,blue,0,m-50ca1fbc1f9eb2afd55c37f8,stress_scout_rush@1.0.0,win,1.0,blue,flag_capture,594,297,96.767,96.6411,0.32539,48,0.16162,264262
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=00,search_remaining_count,scout_rush,p10d,blue,0,m-50ca1fbc1f9eb2afd55c37f8,stress_scout_rush@1.0.0,win,1.0,blue,flag_capture,404,202,65.9169,65.8309,0.3259,49,0.24257,178660
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=01,direct_c1,scout_rush,p10d,blue,1,m-6347943bde3da3cab75f2031,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.0025,0.002,0.00199,0,,1
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=01,search_agent1c,scout_rush,p10d,blue,1,m-6347943bde3da3cab75f2031,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.1241,0.1236,0.12356,0,0.0,283
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=01,search_oracle,scout_rush,p10d,blue,1,m-6347943bde3da3cab75f2031,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.0066,0.0062,0.00617,0,0.0,4
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=01,search_original_phase11,scout_rush,p10d,blue,1,m-6347943bde3da3cab75f2031,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.1287,0.1281,0.12814,0,0.0,301
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=blue|g=01,search_remaining_count,scout_rush,p10d,blue,1,m-6347943bde3da3cab75f2031,stress_scout_rush@1.0.0,loss,0.0,red,flag_capture,3,1,0.1209,0.1203,0.12026,0,0.0,277
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=00,direct_c1,scout_rush,p10d,red,0,m-8ecdc43d62ed643b997df951,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,83,42,0.0861,0.0732,0.00174,0,,42
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=00,search_agent1c,scout_rush,p10d,red,0,m-8ecdc43d62ed643b997df951,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,63,32,10.5579,10.5445,0.32952,8,0.25,28054
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=00,search_oracle,scout_rush,p10d,red,0,m-8ecdc43d62ed643b997df951,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,45,23,0.9313,0.9235,0.04015,6,0.26087,1249
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=00,search_original_phase11,scout_rush,p10d,red,0,m-8ecdc43d62ed643b997df951,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,75,38,12.4184,12.4027,0.32639,9,0.23684,33780
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=00,search_remaining_count,scout_rush,p10d,red,0,m-8ecdc43d62ed643b997df951,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,47,24,7.7285,7.7189,0.32162,5,0.20833,21258
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=01,direct_c1,scout_rush,p10d,red,1,m-37181680b5e7d3aacb20b8aa,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,405,203,0.4327,0.3689,0.00182,0,,203
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=01,search_agent1c,scout_rush,p10d,red,1,m-37181680b5e7d3aacb20b8aa,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,249,125,39.4552,39.4033,0.31523,14,0.112,106592
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=01,search_oracle,scout_rush,p10d,red,1,m-37181680b5e7d3aacb20b8aa,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,261,131,5.4835,5.4377,0.04151,37,0.28244,7412
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=01,search_original_phase11,scout_rush,p10d,red,1,m-37181680b5e7d3aacb20b8aa,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,289,145,47.6962,47.635,0.32852,34,0.23448,129305
phase12_match_v1|ms=2026082003|st=scout_rush|src=p10d|pl=red|g=01,search_remaining_count,scout_rush,p10d,red,1,m-37181680b5e7d3aacb20b8aa,stress_scout_rush@1.0.0,win,1.0,red,flag_capture,857,429,139.5966,139.4097,0.32496,77,0.17949,381304
phase12_match_v1|ms=2026082003|st=strategic_rule|src=neutral|pl=blue|g=00,direct_c1,strategic_rule,neutral,blue,0,m-92f7f6001b88a9d52a5dd321,strategic_rule_based@1.1.0,loss,0.0,red,flag_capture,77,38,0.0819,0.0678,0.00179,0,,38
phase12_match_v1|ms=2026082003|st=strategic_rule|src=neutral|pl=blue|g=00,search_agent1c,strategic_rule,neutral,blue,0,m-92f7f6001b88a9d52a5dd321,strategic_rule_based@1.1.0,win,1.0,blue,flag_capture,110,55,17.7963,17.7701,0.32309,10,0.18182,49094
phase12_match_v1|ms=2026082003|st=strategic_rule|src=neutral|pl=blue|g=00,search_oracle,strategic_rule,neutral,blue,0,m-92f7f6001b88a9d52a5dd321,strategic_rule_based@1.1.0,win,1.0,blue,flag_capture,128,64,2.6444,2.6186,0.04092,14,0.21875,3586
phase12_match_v1|ms=2026082003|st=strategic_rule|src=neutral|pl=blue|g=00,search_original_phase11,strategic_rule,neutral,blue,0,m-92f7f6001b88a9d52a5dd321,strategic_rule_based@1.1.0,loss,0.0,red,flag_capture,171,85,27.4126,27.3723,0.32203,10,0.11765,75584
