[train 14:09:36] fresh init raw c549bc02e974 ema c549bc02e974 | 6400 library formations | 56 cells
[train 14:48:28] p093 games 2048 rw/bw/d 820/766/462 | rows 3041 steps 15 | pol 0.0091 val 1.0705 kl 0.00025 H 1.762 | ema 2fd6e6c2 | 26s (play 19)
[train 14:48:53] p094 games 2048 rw/bw/d 791/794/463 | rows 3034 steps 15 | pol -0.0112 val 1.0686 kl 0.00026 H 1.754 | ema ec816d08 | 25s (play 18)
[train 14:49:17] p095 games 2048 rw/bw/d 807/788/453 | rows 3006 steps 15 | pol 0.0001 val 1.0701 kl 0.00019 H 1.754 | ema 464d66f2 | 24s (play 18)
[train 14:49:43] p096 games 2048 rw/bw/d 799/801/448 | rows 3016 steps 15 | pol 0.0081 val 1.0655 kl 0.00021 H 1.750 | ema 3478e219 | 26s (play 19)
[train 14:49:43] checkpoint ckpt_0096
[train 14:50:07] p097 games 2048 rw/bw/d 823/777/448 | rows 3002 steps 15 | pol -0.0085 val 1.0656 kl 0.00020 H 1.745 | ema de95206f | 24s (play 18)
[train 14:50:32] p098 games 2048 rw/bw/d 818/785/445 | rows 2993 steps 15 | pol -0.0100 val 1.0641 kl 0.00016 H 1.742 | ema 926ea314 | 24s (play 18)
[train 14:50:56] p099 games 2048 rw/bw/d 801/796/451 | rows 3005 steps 15 | pol 0.0034 val 1.0631 kl 0.00015 H 1.737 | ema 5135458c | 25s (play 18)
[train 14:51:21] p100 games 2048 rw/bw/d 809/775/464 | rows 3014 steps 15 | pol -0.0110 val 1.0710 kl 0.00016 H 1.739 | ema 2de9606b | 25s (play 18)
[train 14:51:46] p101 games 2048 rw/bw/d 817/786/445 | rows 2997 steps 15 | pol 0.0070 val 1.0685 kl 0.00015 H 1.742 | ema 7b2da245 | 25s (play 19)
[train 14:52:11] p102 games 2048 rw/bw/d 781/820/447 | rows 3066 steps 15 | pol -0.0060 val 1.0636 kl 0.00020 H 1.746 | ema 72d57c7f | 25s (play 18)
[train 14:52:37] p103 games 2048 rw/bw/d 820/784/444 | rows 3037 steps 15 | pol 0.0108 val 1.0642 kl 0.00009 H 1.743 | ema 75ee044e | 25s (play 19)
[train 14:53:01] p104 games 2048 rw/bw/d 833/777/438 | rows 3015 steps 15 | pol -0.0009 val 1.0612 kl 0.00021 H 1.743 | ema 2fba5b93 | 24s (play 18)
[train 14:53:25] p105 games 2048 rw/bw/d 797/788/463 | rows 3041 steps 15 | pol -0.0000 val 1.0682 kl 0.00033 H 1.744 | ema 647f42d4 | 24s (play 18)
[train 14:53:49] p106 games 2048 rw/bw/d 795/799/454 | rows 3007 steps 15 | pol -0.0061 val 1.0650 kl 0.00009 H 1.743 | ema bdebf0f8 | 24s (play 18)
[train 14:54:14] p107 games 2048 rw/bw/d 786/804/458 | rows 3016 steps 15 | pol 0.0122 val 1.0671 kl 0.00007 H 1.744 | ema fc25533d | 24s (play 18)
[train 14:54:38] p108 games 2048 rw/bw/d 796/797/455 | rows 3045 steps 15 | pol -0.0212 val 1.0676 kl 0.00016 H 1.746 | ema 4a165469 | 24s (play 17)
[train 14:55:03] p109 games 2048 rw/bw/d 785/797/466 | rows 3030 steps 15 | pol 0.0028 val 1.0716 kl 0.00010 H 1.744 | ema 56dcafc6 | 25s (play 18)
[train 14:55:27] p110 games 2048 rw/bw/d 797/787/464 | rows 3005 steps 15 | pol -0.0044 val 1.0719 kl 0.00018 H 1.743 | ema 5267021a | 25s (play 18)
[train 14:55:52] p111 games 2048 rw/bw/d 828/774/446 | rows 3006 steps 15 | pol 0.0061 val 1.0642 kl 0.00025 H 1.741 | ema efc35d27 | 24s (play 18)
[train 14:56:16] p112 games 2048 rw/bw/d 770/814/464 | rows 3057 steps 15 | pol -0.0248 val 1.0703 kl 0.00011 H 1.739 | ema faef27ee | 24s (play 18)
[train 14:56:41] p113 games 2048 rw/bw/d 772/814/462 | rows 3023 steps 15 | pol 0.0261 val 1.0669 kl 0.00055 H 1.738 | ema 7d19201f | 25s (play 18)
[train 14:57:05] p114 games 2048 rw/bw/d 784/799/465 | rows 3039 steps 15 | pol -0.0275 val 1.0685 kl 0.00010 H 1.736 | ema 72442592 | 24s (play 17)
[train 14:57:29] p115 games 2048 rw/bw/d 799/813/436 | rows 3043 steps 15 | pol 0.0103 val 1.0624 kl 0.00015 H 1.739 | ema 83a7353d | 24s (play 17)
[train 14:57:53] p116 games 2048 rw/bw/d 795/806/447 | rows 3012 steps 15 | pol -0.0120 val 1.0644 kl 0.00018 H 1.738 | ema f4988bb6 | 24s (play 18)
[train 14:58:18] p117 games 2048 rw/bw/d 800/792/456 | rows 3052 steps 15 | pol 0.0063 val 1.0674 kl 0.00019 H 1.739 | ema d90c5b8e | 25s (play 18)
[train 14:58:42] p118 games 2048 rw/bw/d 817/769/462 | rows 3035 steps 15 | pol -0.0142 val 1.0700 kl 0.00011 H 1.739 | ema b9dccad3 | 24s (play 18)
[train 14:59:07] p119 games 2048 rw/bw/d 835/780/433 | rows 3016 steps 15 | pol 0.0227 val 1.0596 kl 0.00019 H 1.736 | ema 81e3ca18 | 25s (play 18)
[train 14:59:31] p120 games 2048 rw/bw/d 795/796/457 | rows 3025 steps 15 | pol -0.0408 val 1.0676 kl 0.00057 H 1.739 | ema 35bf55ac | 24s (play 17)
[train 14:59:56] p121 games 2048 rw/bw/d 811/795/442 | rows 3011 steps 15 | pol 0.0428 val 1.0623 kl 0.00015 H 1.738 | ema 8f42b41b | 25s (play 18)
[train 15:00:21] p122 games 2048 rw/bw/d 789/805/454 | rows 3077 steps 20 | pol -0.0010 val 1.0798 kl 0.00153 H 1.748 | ema 67d4c9b3 | 25s (play 18)
[train 15:00:45] p123 games 2048 rw/bw/d 815/763/470 | rows 3006 steps 15 | pol -0.0822 val 1.0736 kl 0.00132 H 1.746 | ema 3e0a6930 | 24s (play 18)
[train 15:01:09] p124 games 2048 rw/bw/d 774/837/437 | rows 2986 steps 15 | pol 0.0160 val 1.0612 kl 0.00026 H 1.751 | ema 1646a729 | 25s (play 18)
[train 15:01:34] p125 games 2048 rw/bw/d 807/797/444 | rows 3039 steps 15 | pol -0.0158 val 1.0626 kl 0.00042 H 1.748 | ema 66f800b7 | 25s (play 18)
[train 15:01:59] p126 games 2048 rw/bw/d 796/793/459 | rows 3054 steps 15 | pol 0.0009 val 1.0675 kl 0.00023 H 1.747 | ema c17cf90a | 25s (play 18)
[train 15:02:24] p127 games 2048 rw/bw/d 773/831/444 | rows 3028 steps 15 | pol 0.0132 val 1.0666 kl 0.00036 H 1.741 | ema e953b309 | 25s (play 18)
[train 15:02:48] p128 games 2048 rw/bw/d 773/811/464 | rows 3015 steps 15 | pol -0.0185 val 1.0693 kl 0.00021 H 1.741 | ema 18722ceb | 24s (play 18)
[train 15:02:48] checkpoint ckpt_0128
[train 15:03:13] p129 games 2048 rw/bw/d 784/819/445 | rows 3071 steps 15 | pol 0.0171 val 1.0651 kl 0.00028 H 1.738 | ema bc9812a8 | 25s (play 18)
[train 15:03:37] p130 games 2048 rw/bw/d 802/802/444 | rows 3012 steps 15 | pol -0.0209 val 1.0635 kl 0.00263 H 1.752 | ema fa4fc8b0 | 24s (play 18)
[train 15:04:02] p131 games 2048 rw/bw/d 795/798/455 | rows 3015 steps 15 | pol 0.0240 val 1.0696 kl 0.00043 H 1.755 | ema 8951c376 | 24s (play 18)
[train 15:04:27] p132 games 2048 rw/bw/d 815/797/436 | rows 3017 steps 15 | pol 0.0006 val 1.0615 kl 0.00074 H 1.744 | ema d4dbf670 | 25s (play 18)
[train 15:04:51] p133 games 2048 rw/bw/d 825/771/452 | rows 3017 steps 15 | pol -0.0140 val 1.0671 kl 0.00120 H 1.749 | ema 90feb267 | 24s (play 17)
