scope_type,scope,model,bin,bin_lower,bin_upper,events,mean_confidence,accuracy,abs_gap,scope_ece
opponent_stratum,phase9_selfplay,learned,0,0.000000,0.066667,0,,,,0.035588
opponent_stratum,phase9_selfplay,learned,1,0.066667,0.133333,1026,0.129189,0.096491,0.032697,0.035588
opponent_stratum,phase9_selfplay,learned,2,0.133333,0.200000,322110,0.180217,0.169191,0.011027,0.035588
opponent_stratum,phase9_selfplay,learned,3,0.200000,0.266667,673308,0.231008,0.206307,0.024701,0.035588
opponent_stratum,phase9_selfplay,learned,4,0.266667,0.333333,363062,0.296051,0.242229,0.053823,0.035588
opponent_stratum,phase9_selfplay,learned,5,0.333333,0.400000,168506,0.362050,0.296915,0.065135,0.035588
opponent_stratum,phase9_selfplay,learned,6,0.400000,0.466667,69524,0.428739,0.378056,0.050682,0.035588
opponent_stratum,phase9_selfplay,learned,7,0.466667,0.533333,39385,0.498305,0.452939,0.045366,0.035588
opponent_stratum,phase9_selfplay,learned,8,0.533333,0.600000,30836,0.565325,0.524257,0.041068,0.035588
opponent_stratum,phase9_selfplay,learned,9,0.600000,0.666667,26144,0.632947,0.586980,0.045967,0.035588
opponent_stratum,phase9_selfplay,learned,10,0.666667,0.733333,24103,0.699439,0.639630,0.059809,0.035588
opponent_stratum,phase9_selfplay,learned,11,0.733333,0.800000,22167,0.766493,0.706681,0.059812,0.035588
opponent_stratum,phase9_selfplay,learned,12,0.800000,0.866667,21456,0.833331,0.779409,0.053922,0.035588
opponent_stratum,phase9_selfplay,learned,13,0.866667,0.933333,27276,0.901788,0.838429,0.063358,0.035588
opponent_stratum,phase9_selfplay,learned,14,0.933333,1.000000,43360,0.968090,0.944050,0.024040,0.035588
opponent_stratum,phase9_selfplay,baseline,0,0.000000,0.066667,0,,,,0.023005
opponent_stratum,phase9_selfplay,baseline,1,0.066667,0.133333,876,0.123353,0.192922,0.069570,0.023005
opponent_stratum,phase9_selfplay,baseline,2,0.133333,0.200000,876894,0.175465,0.201181,0.025715,0.023005
opponent_stratum,phase9_selfplay,baseline,3,0.200000,0.266667,844057,0.221113,0.200661,0.020452,0.023005
opponent_stratum,phase9_selfplay,baseline,4,0.266667,0.333333,77188,0.283763,0.285213,0.001450,0.023005
opponent_stratum,phase9_selfplay,baseline,5,0.333333,0.400000,17203,0.347847,0.394640,0.046794,0.023005
opponent_stratum,phase9_selfplay,baseline,6,0.400000,0.466667,8477,0.418424,0.518934,0.100510,0.023005
opponent_stratum,phase9_selfplay,baseline,7,0.466667,0.533333,3810,0.499790,0.530971,0.031181,0.023005
opponent_stratum,phase9_selfplay,baseline,8,0.533333,0.600000,1176,0.566636,0.721939,0.155303,0.023005
opponent_stratum,phase9_selfplay,baseline,9,0.600000,0.666667,1043,0.605249,0.715244,0.109995,0.023005
opponent_stratum,phase9_selfplay,baseline,10,0.666667,0.733333,748,0.669468,0.783422,0.113955,0.023005
opponent_stratum,phase9_selfplay,baseline,11,0.733333,0.800000,131,0.750000,0.809160,0.059160,0.023005
opponent_stratum,phase9_selfplay,baseline,12,0.800000,0.866667,15,0.800000,0.800000,0.000000,0.023005
opponent_stratum,phase9_selfplay,baseline,13,0.866667,0.933333,0,,,,0.023005
opponent_stratum,phase9_selfplay,baseline,14,0.933333,1.000000,645,1.000000,1.000000,0.000000,0.023005
opponent_stratum,scout_rush,learned,0,0.000000,0.066667,0,,,,0.048326
opponent_stratum,scout_rush,learned,1,0.066667,0.133333,7900,0.128891,0.133544,0.004654,0.048326
opponent_stratum,scout_rush,learned,2,0.133333,0.200000,586263,0.175548,0.160839,0.014709,0.048326
opponent_stratum,scout_rush,learned,3,0.200000,0.266667,782122,0.230267,0.190313,0.039954,0.048326
opponent_stratum,scout_rush,learned,4,0.266667,0.333333,343790,0.293697,0.201161,0.092536,0.048326
opponent_stratum,scout_rush,learned,5,0.333333,0.400000,96771,0.359992,0.227785,0.132206,0.048326
opponent_stratum,scout_rush,learned,6,0.400000,0.466667,34552,0.429540,0.315582,0.113958,0.048326
opponent_stratum,scout_rush,learned,7,0.466667,0.533333,25398,0.501022,0.422435,0.078587,0.048326
opponent_stratum,scout_rush,learned,8,0.533333,0.600000,22626,0.565527,0.513922,0.051605,0.048326
opponent_stratum,scout_rush,learned,9,0.600000,0.666667,19282,0.632284,0.582357,0.049927,0.048326
opponent_stratum,scout_rush,learned,10,0.666667,0.733333,17431,0.699315,0.642878,0.056438,0.048326
opponent_stratum,scout_rush,learned,11,0.733333,0.800000,16137,0.766492,0.708186,0.058306,0.048326
opponent_stratum,scout_rush,learned,12,0.800000,0.866667,15289,0.832917,0.778337,0.054579,0.048326
opponent_stratum,scout_rush,learned,13,0.866667,0.933333,13539,0.899048,0.864687,0.034361,0.048326
opponent_stratum,scout_rush,learned,14,0.933333,1.000000,8203,0.958959,0.918566,0.040393,0.048326
opponent_stratum,scout_rush,baseline,0,0.000000,0.066667,0,,,,0.010831
opponent_stratum,scout_rush,baseline,1,0.066667,0.133333,6316,0.125948,0.090564,0.035385,0.010831
opponent_stratum,scout_rush,baseline,2,0.133333,0.200000,1101689,0.171363,0.163394,0.007969,0.010831
opponent_stratum,scout_rush,baseline,3,0.200000,0.266667,791467,0.218377,0.227000,0.008623,0.010831
opponent_stratum,scout_rush,baseline,4,0.266667,0.333333,66947,0.280403,0.359493,0.079090,0.010831
opponent_stratum,scout_rush,baseline,5,0.333333,0.400000,15301,0.344757,0.353833,0.009076,0.010831
opponent_stratum,scout_rush,baseline,6,0.400000,0.466667,3241,0.413616,0.465906,0.052290,0.010831
opponent_stratum,scout_rush,baseline,7,0.466667,0.533333,2697,0.500000,0.479051,0.020949,0.010831
opponent_stratum,scout_rush,baseline,8,0.533333,0.600000,314,0.569457,0.592357,0.022900,0.010831
opponent_stratum,scout_rush,baseline,9,0.600000,0.666667,247,0.600000,0.680162,0.080162,0.010831
opponent_stratum,scout_rush,baseline,10,0.666667,0.733333,504,0.666667,0.607143,0.059524,0.010831
opponent_stratum,scout_rush,baseline,11,0.733333,0.800000,40,0.750000,0.725000,0.025000,0.010831
opponent_stratum,scout_rush,baseline,12,0.800000,0.866667,15,0.800000,0.800000,0.000000,0.010831
opponent_stratum,scout_rush,baseline,13,0.866667,0.933333,0,,,,0.010831
opponent_stratum,scout_rush,baseline,14,0.933333,1.000000,525,1.000000,1.000000,0.000000,0.010831
opponent_stratum,strategic_rule,learned,0,0.000000,0.066667,0,,,,0.042940
opponent_stratum,strategic_rule,learned,1,0.066667,0.133333,461,0.129237,0.140998,0.011761,0.042940
opponent_stratum,strategic_rule,learned,2,0.133333,0.200000,168699,0.180040,0.162117,0.017923,0.042940
opponent_stratum,strategic_rule,learned,3,0.200000,0.266667,316134,0.231747,0.194123,0.037624,0.042940
opponent_stratum,strategic_rule,learned,4,0.266667,0.333333,160951,0.293706,0.221036,0.072670,0.042940
opponent_stratum,strategic_rule,learned,5,0.333333,0.400000,48792,0.361555,0.307386,0.054168,0.042940
opponent_stratum,strategic_rule,learned,6,0.400000,0.466667,26059,0.430888,0.403009,0.027879,0.042940
opponent_stratum,strategic_rule,learned,7,0.466667,0.533333,19133,0.499114,0.489939,0.009176,0.042940
opponent_stratum,strategic_rule,learned,8,0.533333,0.600000,14863,0.565518,0.542286,0.023232,0.042940
opponent_stratum,strategic_rule,learned,9,0.600000,0.666667,12641,0.633009,0.607230,0.025778,0.042940
opponent_stratum,strategic_rule,learned,10,0.666667,0.733333,11310,0.699444,0.660389,0.039055,0.042940
opponent_stratum,strategic_rule,learned,11,0.733333,0.800000,10476,0.766628,0.710767,0.055861,0.042940
opponent_stratum,strategic_rule,learned,12,0.800000,0.866667,10944,0.833841,0.758406,0.075435,0.042940
opponent_stratum,strategic_rule,learned,13,0.866667,0.933333,11877,0.900805,0.778395,0.122409,0.042940
opponent_stratum,strategic_rule,learned,14,0.933333,1.000000,11039,0.962094,0.852161,0.109934,0.042940
opponent_stratum,strategic_rule,baseline,0,0.000000,0.066667,0,,,,0.015155
opponent_stratum,strategic_rule,baseline,1,0.066667,0.133333,1436,0.125562,0.128830,0.003268,0.015155
opponent_stratum,strategic_rule,baseline,2,0.133333,0.200000,385525,0.175214,0.183469,0.008255,0.015155
opponent_stratum,strategic_rule,baseline,3,0.200000,0.266667,334085,0.220392,0.235347,0.014956,0.015155
opponent_stratum,strategic_rule,baseline,4,0.266667,0.333333,56709,0.286815,0.328396,0.041581,0.015155
opponent_stratum,strategic_rule,baseline,5,0.333333,0.400000,24467,0.345984,0.392161,0.046177,0.015155
opponent_stratum,strategic_rule,baseline,6,0.400000,0.466667,10121,0.418416,0.462108,0.043693,0.015155
opponent_stratum,strategic_rule,baseline,7,0.466667,0.533333,5820,0.500000,0.520790,0.020790,0.015155
