benchmark_state_id,state_ordinal,configuration,worlds,opponent_stratum,observer_color,progress_bucket,unresolved_pieces,hidden_pieces,public_state_identity,document_ms,forward_ms,sampling_ms,total_ms
phase11_benchmark_state_v1|ms=2026081901|n=017,17,forward_plus_16_worlds,16,phase9_selfplay,red,middle,37,37,aeb656b426a498d1cc320bdd0ed8c7037f5b1527f4c143db71513b557913302a,0.261416,1.389584,11.460208,13.111208
phase11_benchmark_state_v1|ms=2026081901|n=017,17,forward_plus_32_worlds,32,phase9_selfplay,red,middle,37,37,aeb656b426a498d1cc320bdd0ed8c7037f5b1527f4c143db71513b557913302a,0.291292,1.586333,23.200958,25.078583
phase11_benchmark_state_v1|ms=2026081901|n=017,17,forward_plus_64_worlds,64,phase9_selfplay,red,middle,37,37,aeb656b426a498d1cc320bdd0ed8c7037f5b1527f4c143db71513b557913302a,0.284833,1.669958,45.66375,47.618541
phase11_benchmark_state_v1|ms=2026081901|n=018,18,forward_only,0,phase9_selfplay,red,middle,38,38,37aca3d4ed9041d1be326dbece8df13ad09b4f0c37b205a080bfd3e4a1745d57,0.292541,1.685834,0.134375,2.11275
phase11_benchmark_state_v1|ms=2026081901|n=018,18,forward_plus_16_worlds,16,phase9_selfplay,red,middle,38,38,37aca3d4ed9041d1be326dbece8df13ad09b4f0c37b205a080bfd3e4a1745d57,0.259709,1.377666,11.810542,13.447917
phase11_benchmark_state_v1|ms=2026081901|n=018,18,forward_plus_32_worlds,32,phase9_selfplay,red,middle,38,38,37aca3d4ed9041d1be326dbece8df13ad09b4f0c37b205a080bfd3e4a1745d57,0.277792,1.531625,23.028583,24.838
phase11_benchmark_state_v1|ms=2026081901|n=018,18,forward_plus_64_worlds,64,phase9_selfplay,red,middle,38,38,37aca3d4ed9041d1be326dbece8df13ad09b4f0c37b205a080bfd3e4a1745d57,0.342833,1.785083,45.762875,47.890791
phase11_benchmark_state_v1|ms=2026081901|n=019,19,forward_only,0,phase9_selfplay,red,middle,38,38,f595021b5e82f0b85b74ff315d8e89e7d4dfe255a91fe261da4bb8250eb091e0,0.285792,1.746083,0.13925,2.171125
phase11_benchmark_state_v1|ms=2026081901|n=019,19,forward_plus_16_worlds,16,phase9_selfplay,red,middle,38,38,f595021b5e82f0b85b74ff315d8e89e7d4dfe255a91fe261da4bb8250eb091e0,0.26475,1.337167,11.560458,13.162375
phase11_benchmark_state_v1|ms=2026081901|n=019,19,forward_plus_32_worlds,32,phase9_selfplay,red,middle,38,38,f595021b5e82f0b85b74ff315d8e89e7d4dfe255a91fe261da4bb8250eb091e0,0.260792,1.359792,23.072208,24.692792
phase11_benchmark_state_v1|ms=2026081901|n=019,19,forward_plus_64_worlds,64,phase9_selfplay,red,middle,38,38,f595021b5e82f0b85b74ff315d8e89e7d4dfe255a91fe261da4bb8250eb091e0,0.278208,1.506083,45.808459,47.59275
phase11_benchmark_state_v1|ms=2026081901|n=020,20,forward_only,0,phase9_selfplay,red,late,2,2,0062f906962bcb8cee75cb334104530ac92d5e2fcc8604d4d6730d336b6981f1,0.259875,1.390667,0.014916,1.665458
phase11_benchmark_state_v1|ms=2026081901|n=020,20,forward_plus_16_worlds,16,phase9_selfplay,red,late,2,2,0062f906962bcb8cee75cb334104530ac92d5e2fcc8604d4d6730d336b6981f1,0.237708,1.247584,4.367333,5.852625
phase11_benchmark_state_v1|ms=2026081901|n=020,20,forward_plus_32_worlds,32,phase9_selfplay,red,late,2,2,0062f906962bcb8cee75cb334104530ac92d5e2fcc8604d4d6730d336b6981f1,0.237042,1.251958,8.777917,10.266917
phase11_benchmark_state_v1|ms=2026081901|n=020,20,forward_plus_64_worlds,64,phase9_selfplay,red,late,2,2,0062f906962bcb8cee75cb334104530ac92d5e2fcc8604d4d6730d336b6981f1,0.249583,1.340209,17.531708,19.1215
phase11_benchmark_state_v1|ms=2026081901|n=021,21,forward_only,0,phase9_selfplay,red,late,8,8,5ad238d5281c16575b1d9a2cbd8da8197b6f73354fbd797587aae9a852656cfa,0.271333,1.446875,0.035792,1.754
phase11_benchmark_state_v1|ms=2026081901|n=021,21,forward_plus_16_worlds,16,phase9_selfplay,red,late,8,8,5ad238d5281c16575b1d9a2cbd8da8197b6f73354fbd797587aae9a852656cfa,0.254417,1.262,5.623958,7.140375
phase11_benchmark_state_v1|ms=2026081901|n=021,21,forward_plus_32_worlds,32,phase9_selfplay,red,late,8,8,5ad238d5281c16575b1d9a2cbd8da8197b6f73354fbd797587aae9a852656cfa,0.261625,1.360125,11.064375,12.686125
phase11_benchmark_state_v1|ms=2026081901|n=021,21,forward_plus_64_worlds,64,phase9_selfplay,red,late,8,8,5ad238d5281c16575b1d9a2cbd8da8197b6f73354fbd797587aae9a852656cfa,0.253959,1.306833,22.220958,23.78175
phase11_benchmark_state_v1|ms=2026081901|n=022,22,forward_only,0,phase9_selfplay,red,late,12,12,3d1762adff47c1525d1b4e85044ad29b7d1660368881ad377015257a217b6606,0.270333,1.522583,0.051,1.843916
phase11_benchmark_state_v1|ms=2026081901|n=022,22,forward_plus_16_worlds,16,phase9_selfplay,red,late,12,12,3d1762adff47c1525d1b4e85044ad29b7d1660368881ad377015257a217b6606,0.248541,1.267792,6.462542,7.978875
