[coadapt 01:02:24] verifying the accepted corpus identity and every payload
[coadapt 01:03:37] fresh lineage: setup init digest c0f532e75d80 (ckpt_1024 EMA c0f532e75d80), C1 init cfe60bb0cb34
[coadapt 01:05:45] [control] period 1/256: games 1141 (in flight 2551), c1 step 64, setup frozen, 120.54 s, bundle 2feec01b324e
[coadapt 01:05:46] period 1/256 in 129 s
[coadapt 01:05:52] verifying the accepted corpus identity and every payload
[coadapt 01:07:13] resumed from bundle_0001 at period 1
[coadapt 05:06:37] [control] period 108/256: games 1850 (in flight 2552), c1 step 6912, setup frozen, 141.784 s
[coadapt 05:08:56] [control] period 109/256: games 1879 (in flight 2550), c1 step 6976, setup frozen, 139.193 s
[coadapt 05:11:27] [control] period 110/256: games 1901 (in flight 2553), c1 step 7040, setup frozen, 150.995 s
[coadapt 05:13:48] [control] period 111/256: games 1895 (in flight 2555), c1 step 7104, setup frozen, 140.742 s
[coadapt 05:16:05] [control] period 112/256: games 1865 (in flight 2552), c1 step 7168, setup frozen, 136.266 s
[coadapt 05:18:26] [control] period 113/256: games 1902 (in flight 2550), c1 step 7232, setup frozen, 141.42 s
[coadapt 05:20:48] [control] period 114/256: games 1875 (in flight 2549), c1 step 7296, setup frozen, 141.397 s
[coadapt 05:23:07] [control] period 115/256: games 1930 (in flight 2553), c1 step 7360, setup frozen, 138.665 s
[coadapt 05:25:25] [control] period 116/256: games 1901 (in flight 2549), c1 step 7424, setup frozen, 138.461 s
[coadapt 05:27:47] [control] period 117/256: games 1910 (in flight 2551), c1 step 7488, setup frozen, 142.047 s
[coadapt 05:30:12] [control] period 118/256: games 1903 (in flight 2546), c1 step 7552, setup frozen, 144.641 s
[coadapt 05:32:31] [control] period 119/256: games 1841 (in flight 2555), c1 step 7616, setup frozen, 138.782 s
[coadapt 05:34:52] [control] period 120/256: games 1900 (in flight 2556), c1 step 7680, setup frozen, 141.142 s
[coadapt 05:37:14] [control] period 121/256: games 1908 (in flight 2547), c1 step 7744, setup frozen, 141.109 s
[coadapt 05:39:37] [control] period 122/256: games 1864 (in flight 2548), c1 step 7808, setup frozen, 143.266 s
[coadapt 05:41:57] [control] period 123/256: games 1938 (in flight 2554), c1 step 7872, setup frozen, 139.815 s
[coadapt 05:44:17] [control] period 124/256: games 1906 (in flight 2554), c1 step 7936, setup frozen, 140.153 s
[coadapt 05:46:45] [control] period 125/256: games 1874 (in flight 2548), c1 step 8000, setup frozen, 147.926 s
[coadapt 05:49:11] [control] period 126/256: games 1884 (in flight 2546), c1 step 8064, setup frozen, 145.698 s
[coadapt 05:51:32] [control] period 127/256: games 1897 (in flight 2554), c1 step 8128, setup frozen, 140.596 s
[coadapt 05:54:06] [control] period 128/256: games 1872 (in flight 2551), c1 step 8192, setup frozen, 138.77 s, bundle e70550a06df2
[coadapt 05:56:27] [control] period 129/256: games 1914 (in flight 2554), c1 step 8256, setup frozen, 141.129 s
[coadapt 05:58:48] [control] period 130/256: games 1878 (in flight 2551), c1 step 8320, setup frozen, 140.288 s
[coadapt 06:01:09] [control] period 131/256: games 1913 (in flight 2553), c1 step 8384, setup frozen, 141.165 s
[coadapt 06:03:33] [control] period 132/256: games 1874 (in flight 2553), c1 step 8448, setup frozen, 143.559 s
[coadapt 06:05:59] [control] period 133/256: games 1879 (in flight 2553), c1 step 8512, setup frozen, 146.337 s
[coadapt 06:08:23] [control] period 134/256: games 1887 (in flight 2549), c1 step 8576, setup frozen, 143.5 s
[coadapt 06:10:46] [control] period 135/256: games 1867 (in flight 2554), c1 step 8640, setup frozen, 143.078 s
[coadapt 06:13:10] [control] period 136/256: games 1889 (in flight 2552), c1 step 8704, setup frozen, 143.7 s
[coadapt 06:15:31] [control] period 137/256: games 1862 (in flight 2552), c1 step 8768, setup frozen, 140.543 s
[coadapt 06:17:56] [control] period 138/256: games 1871 (in flight 2552), c1 step 8832, setup frozen, 145.547 s
[coadapt 06:20:24] [control] period 139/256: games 1859 (in flight 2552), c1 step 8896, setup frozen, 147.742 s
[coadapt 06:22:54] [control] period 140/256: games 1850 (in flight 2549), c1 step 8960, setup frozen, 149.222 s
[coadapt 06:25:16] [control] period 141/256: games 1845 (in flight 2556), c1 step 9024, setup frozen, 142.585 s
[coadapt 06:27:36] [control] period 142/256: games 1893 (in flight 2553), c1 step 9088, setup frozen, 139.538 s
[coadapt 06:30:00] [control] period 143/256: games 1889 (in flight 2555), c1 step 9152, setup frozen, 143.552 s
[coadapt 06:32:23] [control] period 144/256: games 1869 (in flight 2547), c1 step 9216, setup frozen, 143.578 s
[coadapt 06:34:48] [control] period 145/256: games 1910 (in flight 2549), c1 step 9280, setup frozen, 144.91 s
[coadapt 06:37:07] [control] period 146/256: games 1838 (in flight 2545), c1 step 9344, setup frozen, 138.528 s
[coadapt 06:39:39] [control] period 147/256: games 1823 (in flight 2555), c1 step 9408, setup frozen, 151.737 s
[coadapt 06:42:11] [control] period 148/256: games 1951 (in flight 2548), c1 step 9472, setup frozen, 152.122 s
[coadapt 06:44:36] [control] period 149/256: games 1870 (in flight 2551), c1 step 9536, setup frozen, 144.825 s
[coadapt 06:47:04] [control] period 150/256: games 1897 (in flight 2553), c1 step 9600, setup frozen, 148.195 s
